"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3VgQTiiOCA1vAajq8XHWdh","Love Me","spotify:artist:0VEzhZrWBCaoufAiZkjX3G","Marbert Rocel","spotify:album:49GVVdEnAKN1flSb0Tu4bE","Catch A Bird","spotify:artist:0VEzhZrWBCaoufAiZkjX3G","Marbert Rocel","2009-10-23","https://i.scdn.co/image/ab67616d0000b2738f9a73b735c99345e5e29fb6","1","13","326973","https://p.scdn.co/mp3-preview/3431a40ca16b5c04b0406e907a05c9e3c5965d2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","","2022-03-08T15:53:49Z"
"spotify:track:0ZzdUkZY5QDuH7vze5RkFT","Soul Shadows - Edit","spotify:artist:3Bhgbs9kIwl8SuU0eIqN6b, spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","The Crusaders, Bill Withers","spotify:album:49oDv0OMQgI3bZvY5AshBQ","Gold","spotify:artist:3Bhgbs9kIwl8SuU0eIqN6b","The Crusaders","2007","https://i.scdn.co/image/ab67616d0000b273aa9581deca4c9593c71feb04","2","11","384346","","false","27","","2022-03-08T13:29:43Z"
"spotify:track:4t2OeILB07eMGTXSUbMPEu","Oxytocin","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0JGOiO34nwfUdDrD612dOp","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2021-07-30","https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e","1","5","210232","","false","72","","2022-03-07T15:38:05Z"
"spotify:track:559261quLx4Iuiz1PjmvgY","You Look Certain (I’m Not So Sure)","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:19WKgM9hPs6GwwBciAyxYF","Mount Kimbie, Andrea Balency","spotify:album:54FblbvyHNrWeAuEJqnyit","Love What Survives","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","2017-09-08","https://i.scdn.co/image/ab67616d0000b273ef0e291a1bcffecf12f8cb16","1","6","202260","https://p.scdn.co/mp3-preview/eb0fda7df3139d22e53092e9665a8506cc38bbb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","","2022-03-07T15:17:45Z"
"spotify:track:1cjwmz8usNrrtkNCbzN2sS","Hello Like Before","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:36qxAJDnXvbjD2UVAkawwZ","The Essential Bill Withers","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","2013-08-20","https://i.scdn.co/image/ab67616d0000b273351dac819b0fdd6066d3832b","2","3","329573","https://p.scdn.co/mp3-preview/3c3ed9e4ebf9c41218a2ed036c652ccf9b749fed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","","2022-03-07T11:39:48Z"
"spotify:track:4u5caeri2MC9V32n9OBuZT","I Can't Write Left-Handed - Live at Carnegie Hall, New York, NY - October 1972","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:0Stnb66v5cibvR22sFdLYx","Bill Withers Live At Carnegie Hall","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1973-04-21","https://i.scdn.co/image/ab67616d0000b27350b10d78af31493bc9616a8a","1","9","403666","https://p.scdn.co/mp3-preview/44b53a55bb9228dd7dc00fa720a3a7df611067f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","","2022-03-07T11:25:46Z"
"spotify:track:58ztypYrDVeA4XOKxBbmGF","Mother Culture","spotify:artist:1KzHbhbPxLtkD0eDP9Z8PK","Avast","spotify:album:4QY98SpxKfKkpyb4q0nD0V","Mother Culture","spotify:artist:1KzHbhbPxLtkD0eDP9Z8PK","Avast","2018-10-26","https://i.scdn.co/image/ab67616d0000b2735007fe83e5894b6f76f2507c","1","1","537626","","false","0","","2022-03-07T07:15:31Z"
"spotify:track:3wtWoW9xUydoMYfOJwtxcR","Над гробом ветхим","spotify:artist:55yb826YWt5OiJXGY5s6gq","Путь","spotify:album:4CW4B7pOQi7rUEvNI21iQq","Песни смерти","spotify:artist:55yb826YWt5OiJXGY5s6gq","Путь","2018-12-09","https://i.scdn.co/image/ab67616d0000b27388b198b870196db2c0715f35","1","5","360414","https://p.scdn.co/mp3-preview/10e89e898a66b326bc1ed963f5b7138ebcad1efd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","","2022-03-06T08:03:58Z"
"spotify:track:5pkC7Z4iKPYq92NafxFjB5","Leaving - Live from Studio S2","spotify:artist:14YzutUdMwS9yTnI0IFBaD","Hania Rani","spotify:album:0uGcqYkVnRk5CFkLiPnzBb","Leaving (Live from Studio S2)","spotify:artist:14YzutUdMwS9yTnI0IFBaD","Hania Rani","2022-01-07","https://i.scdn.co/image/ab67616d0000b273c6d191cc9580271233bfa59b","1","1","390558","","false","2","","2022-03-05T15:49:46Z"
"spotify:track:0jbGm0dpPUnr8omDSpLKW6","Mauvaise journée","spotify:artist:5j4HeCoUlzhfWtjAfM1acR","Stromae","spotify:album:5JY3b9cELQsoG7D5TJMOgw","Multitude","spotify:artist:5j4HeCoUlzhfWtjAfM1acR","Stromae","2022-03-03","https://i.scdn.co/image/ab67616d0000b27331d6b27ffaa0b2f89234698a","1","11","187680","","false","59","","2022-03-05T13:20:06Z"
